sentence_id,doc_key,sentence,label
20,DB_1,Changes to Your Personal Data.,Description of Right to Correct Information
21,DB_1,We rely on you to update and correct the Personal Data contained in your account.,Description of Right to Correct Information
25,DB_1,Deletion of Your Personal Data.,Description of Right to Delete
30,DB_1,"Except as provided above, we will delete, aggregate, or de-identify all of your Personal Data as described in this subsection within the timeframes required by law.",Description of Right to Delete
68,DB_1,We will note the effective date of the latest version of our Privacy Policy at the end of this Privacy Policy.,Updated Privacy Policy
141,DB_1,Keeping your Personal Data Safe.,Description of Right to Know PI Collected
217,DB_1,You can make the following choices to opt out of certain activities regarding your Personal Data:,Description of Right to Opt-out of sale of PI
225,DB_1,"In addition, the CCPA provides you the right to access",Description of Right to Know PI Collected
226,DB_1,and delete Personal Data,Description of Right to Delete
240,DB_2,How to Reach Us,Methods to exercise rights
245,DB_2,"Last updated January 1, 2023",Updated Privacy Policy
287,DB_2,"Certain pages on our websites contain “web beacons” (also known as Internet tags, pixel tags and clear GIFs).",Description of Right to Know PI Collected
293,DB_2,Our website detects and honors the Global Privacy Control signal in accordance with applicable privacy laws.,Description of Right to Know PI Collected
294,DB_2,The Global Privacy Control is a signal that can be enabled in certain browsers or browser extensions.,Description of Right to Know PI Collected
295,DB_2,"including the right to know what information we collect, disclose, and sell",Description of Right to Know PI Collected
298,DB_2,or correction of your data,Description of Right to Correct Information
346,DB_2,or share your personal information with any third parties for targeted behavioral advertising.,Categories of Personal Information Shared / Disclosed
349,DB_3,"We may enhance or merge users’ personally identifiable information with data collected from other sources to use in postal, email or telephone marketing, including but not limited to the services described in “Sharing of Information” below.",Categories of Personal Information Collected
352,DB_3,The categories of sources from which the personal information is collected.,Categories of Personal Information Collected
358,DB_3,"The Company does provide personally identifiable data to other marketing companies, advertising agencies, data compilers, data companies, and, to the extent permitted by law, individual reference and look-up service programs.",Categories of Personal Information Shared / Disclosed
379,DB_3,"In California, commencing January 1, 2020, consumers have the right to request that a business that collects personal information about the consumer disclose the following:",Description of Right to Know PI Collected
384,DB_3,"The Company maintains security guidelines to protect the loss, misuse, or alteration of information in its database.",Categories of Personal Information Shared / Disclosed
399,DB_3,The categories of third parties with whom the business shares personal information,Description of Right to Know PI sold / shared
400,DB_3,The specific pieces of personal information it has collected about that consumer,Description of Right to Know PI Collected
446,DB_4,"We will verify your identity by requesting information like your phone number, name and address so that we can locate and display your information for your review.",Methods to exercise rights
