sentence_id,idea_id,central,size
10006,144,"A cookie description that explains the assignment of a unique ID to each visitor for the purpose of counting distinct visits indicates the processing of pseudonymous identifiers that can single out an individual, which constitutes a category of personal information.",1
10006,3747,Descriptions that mention creating or storing visitor IDs to prevent duplicate counting or to recognize returning users reveal the collection of personal identifiers that fall under categories of personal information collected.,1
10006,537,"Any declared purpose that involves distinguishing one visitor from another through a persistent token or ID signifies the handling of personal data, since the identifier can be used to track an individual's behavior.",1
10006,8598,"Whenever a tracking mechanism states that it counts how many different visitors use a service by assigning identifiers, that functionality implies the collection of data linkable to a natural person over time.",1
10009,4467,"In privacy-related contexts, any cookie purpose that involves monitoring a user's interactions—such as pages viewed or time spent—is treated as a personal information category because it reveals usage patterns tied to the user.",1
10009,6334,The inclusion of metadata like expiry duration or cookie type does not change the substance of a purpose that records user navigation and session details; such purposes are classified as collecting personal information.,1
10009,7245,"When a cookie description ties a specific identifier (such as a session ID) to tracking a user's activity on a website, it signals the collection of personal information because the activity is attributable to that user.",1
10009,778,A sentence that describes the function of a cookie in terms of measuring page popularity and visitor movement is categorized under the collection of personal information because such analytics data is treated as personal data under the privacy policy.,2
10062,3026,"A statement about where lawsuits must be filed typically appears in the operative, final version of a privacy policy, which—when the document is composed of change announcements—is the materially updated policy being presented.",1
10062,4820,"Legal terms like a choice-of-forum agreement are seldom added to a policy without also prompting a policy update announcement, so their presence signals that the sentence is part of the updated policy text.",1
10062,5759,"Sentences that specify governing law or court jurisdiction are common legal boilerplate in privacy policies, so such a clause is naturally categorized as part of the updated policy content when the surrounding document focuses on policy revisions.",1
10062,7564,"When a privacy policy document contains multiple references to 'changes', 'effective dates', and 'updates', a dispute-resolution provision is interpreted as belonging to the most recent version, which is the one labeled 'Updated Privacy Policy'.",1
10092,1023,"A sentence that ties a non-discrimination guarantee to the exercise of rights under a specific law (e.g., CCPA) is a description of that right.",2
10092,1811,A sentence that explicitly states a prohibition against discrimination for exercising legal rights directly describes the right to non-discrimination.,23
10092,3164,A statement that directly addresses the user and assures protection from adverse treatment for exercising rights is characteristic of a rights description.,1
10092,6280,The presence of a heading such as 'Non-Discrimination' preceding a statement signals that the text describes that specific right.,3
10096,1436,A sentence that explicitly affirms the user's ability to make a choice regarding the sale of their personal information is a description of the right to opt out.,24
10096,2061,"A sentence that explicitly references a specific privacy law, such as CCPA, and names the right to opt out of data selling directly indicates that the sentence describes that legal right.",1
10096,5777,"Sentences that state that a law 'ensures' or 'provides' users with a right are descriptive in nature, matching a label that asks for a description of that right.",1
10096,7195,Using a prominent consumer-facing directive like 'DO NOT SELL' signals that the content is educating users about their opt-out rights under relevant regulations.,1
1015,2627,"A sentence that pairs the ability to access with the ability to correct highlights the scope of a user's control over their personal data, which is a correction right.",1
1015,551,A sentence that explicitly states that an individual may request correction of inaccurate data directly describes the right to correct information.,27
1015,5895,Statements that outline a procedure for users to request amendments to their stored information are classified as descriptions of the correction right.,2
1015,7122,The use of permissive language such as 'may' to describe user actions on provided information signals the existence of a defined privacy right.,1
1016,1326,"A sentence that enumerates specific user-initiated actions for accessing, correcting, or deleting personal data is categorized as describing methods to exercise rights.",4
1016,5431,"Sentences containing imperative instructions with a designated channel (e.g., 'submit a request') indicate that the sentence explains how to exercise a privacy right.",1
1016,6459,"The mention of specific rights (e.g., obtaining a copy or correcting information) signals that the sentence pertains to methods of exercising those rights.",1
1016,992,"A sentence offering a direct, actionable way to address issues or requests falls under the label for methods to exercise rights.",4
10179,261,"A description of the right to delete typically includes reference to personal information previously gathered and frames the individual's ability to compel its removal, as opposed to merely acknowledging a process.",4
10179,3384,A thorough description clarifies that the company's obligation extends to directing its service providers to also honor the deletion request.,1
10179,6986,"These descriptions commonly include conditions under which the deletion request may be denied, such as failure to verify identity or applicability of legal exemptions.",1
10179,7034,"The statement often frames the right within the context of applicable privacy regulations, referencing verification requirements and statutory exemptions.",1
10192,5087,Notification clauses that inform users about changes in ownership or use of personal information in the event of a corporate transaction are categorized under the same label because they directly address the disposition of personal data in a sale-like event.,1
10192,5685,Sentences that mention user choices regarding personal information in the context of a merger or acquisition are grouped with sold categories because they pertain to the fate of personal data during a transaction that constitutes a sale or transfer.,1
10192,648,"When a privacy policy states that personal information may be transferred to an acquiror or merger entity, that statement falls under the category of personal information sold, as it indicates a commercial transfer of data to another party.",4
10192,821,"A sentence describing the transfer of personal information to a successor entity during a merger, acquisition, or sale of assets is classified under categories of personal information sold because such corporate transactions are treated as a commercial transfer or disclosure of personal data.",11
10222,3806,Disclosures about sharing data with prospective purchasers or new owners in a bankruptcy or consolidation context are classified as categories of personal information sold when the described recipients are outside the original controller and the transfer is not solely for the controller's operational purposes.,2
10222,663,"A privacy statement that explicitly notes personal data may be conveyed to a successor entity without describing a user-initiated purpose is interpreted as a disclosure of potential sale, because the recipient is an unrelated buyer of the business rather than an operational processor.",1
10222,7974,"When a sentence frames data sharing as occurring upon a corporate change (sale of assets, merger), it signals that the data may be monetized or conveyed as part of the company's value, aligning it with the 'Categories of Personal Information Sold' label.",1
10222,821,"A sentence describing the transfer of personal information to a successor entity during a merger, acquisition, or sale of assets is classified under categories of personal information sold because such corporate transactions are treated as a commercial transfer or disclosure of personal data.",11
10224,1436,A sentence that explicitly affirms the user's ability to make a choice regarding the sale of their personal information is a description of the right to opt out.,24
