sentence_id,idea_id,central,size
10009,778,A sentence that describes the function of a cookie in terms of measuring page popularity and visitor movement is categorized under the collection of personal information because such analytics data is treated as personal data under the privacy policy.,2
10092,1023,"A sentence that ties a non-discrimination guarantee to the exercise of rights under a specific law (e.g., CCPA) is a description of that right.",2
10092,1811,A sentence that explicitly states a prohibition against discrimination for exercising legal rights directly describes the right to non-discrimination.,23
10092,6280,The presence of a heading such as 'Non-Discrimination' preceding a statement signals that the text describes that specific right.,3
10096,1436,A sentence that explicitly affirms the user's ability to make a choice regarding the sale of their personal information is a description of the right to opt out.,24
1015,551,A sentence that explicitly states that an individual may request correction of inaccurate data directly describes the right to correct information.,27
1015,5895,Statements that outline a procedure for users to request amendments to their stored information are classified as descriptions of the correction right.,2
1016,1326,"A sentence that enumerates specific user-initiated actions for accessing, correcting, or deleting personal data is categorized as describing methods to exercise rights.",4
1016,992,"A sentence offering a direct, actionable way to address issues or requests falls under the label for methods to exercise rights.",4
10179,261,"A description of the right to delete typically includes reference to personal information previously gathered and frames the individual's ability to compel its removal, as opposed to merely acknowledging a process.",4
10192,648,"When a privacy policy states that personal information may be transferred to an acquiror or merger entity, that statement falls under the category of personal information sold, as it indicates a commercial transfer of data to another party.",4
10192,821,"A sentence describing the transfer of personal information to a successor entity during a merger, acquisition, or sale of assets is classified under categories of personal information sold because such corporate transactions are treated as a commercial transfer or disclosure of personal data.",11
10222,3806,Disclosures about sharing data with prospective purchasers or new owners in a bankruptcy or consolidation context are classified as categories of personal information sold when the described recipients are outside the original controller and the transfer is not solely for the controller's operational purposes.,2
10222,821,"A sentence describing the transfer of personal information to a successor entity during a merger, acquisition, or sale of assets is classified under categories of personal information sold because such corporate transactions are treated as a commercial transfer or disclosure of personal data.",11
10224,1436,A sentence that explicitly affirms the user's ability to make a choice regarding the sale of their personal information is a description of the right to opt out.,24
10224,5345,Reference to a specific jurisdiction's privacy law (such as California) signals that the stated 'opt out' right concerns the sale of personal information under that regulatory framework.,2
10224,902,"A sentence framed as an instruction for exercising a privacy right over personal data is categorized by the specific right it names, so an explicit 'opt out' instruction maps to the opt-out-of-sale descriptor.",2
10224,937,"When a sentence contains the phrase 'opt out' in connection with ceasing the 'sale' of personal information and explains the consequence (no longer selling and instead suppressing data), it directly characterizes the right to opt out of a sale.",14
10310,2027,A sentence that names a specific privacy regulation and describes a consumer's entitlement to request access to their personal information falls under the category of a right-to-know description.,2
10327,3198,"A statement that explicitly draws a boundary around which data counts as personal information, using phrases like 'may constitute Personal Information,' is a direct categorization of the data types under discussion.",3
10327,555,Any sentence that links a specific source of collected data to its potential classification as personal information—even with geographic or jurisdictional qualifiers—fits a label devoted to describing the types of personal information gathered.,2
10327,7699,"When a sentence explicitly enumerates the different channels through which a data collector obtains personal information, it functions as a statement of the types of personal information that fall within its collection scope.",2
1033,290,"A disclosure addressing the authority or business arrangement behind processing personal information helps users understand the purposes and legal foundations of collection, which is integral to describing a right to know collected personal information.",5
10355,271,A sentence that explicitly names a consumer right using the phrase 'right to know' and ties it to personal information being sold or shared is typically labeled as a description of that specific right.,3
10355,7854,"When a sentence enumerates the details of a disclosure right, such as the type of data involved and the recipients, it functions as a descriptive statement of the right rather than a procedural or enforcement rule.",2
10357,118,"When a sentence begins with a heading that names a right and then continues with a declarative statement beginning with 'You have a right...', it is functioning as a direct description of that right.",2
10357,2587,"A sentence that outlines the existence and scope of a right, rather than providing procedural details, is categorized under the description of that right.",2
10357,426,A sentence that explicitly states a user can request to limit or restrict the use or disclosure of their personal information is classified as a description of a right to limit use.,9
10357,956,A sentence is labeled as describing a 'Right to Limit' when it explicitly names a legal right and states that the user can restrict how their information is used or disclosed.,4
10474,1318,A sentence that describes a concrete action or tool a user can employ to control or limit data collection is classified as a method for exercising rights.,5
10474,5570,Sentences that reference where to change device settings for privacy controls are considered instructions for exercising data protection rights.,2
10519,1868,A sentence that explicitly states that certain categories of personal information have been disclosed for business purposes directly matches a label denoting categories of personal information shared or disclosed.,5
1052,1165,A sentence that explains the specific business purposes for which personal information is gathered falls under the scope of informing consumers about their right to know what data is collected.,2
1052,6317,"The inclusion of both collection categories and business purposes indicates the text details the scope and rationale of data processing, which is a hallmark of a 'Right to Know' disclosure.",2
10522,1429,"A sentence that directly addresses whether the company sells personal data—and clarifies the meaning of 'sell' under different definitions—belongs under a heading about the categories of personal information sold, because that heading records the company's sale-related practices.",2
10522,1606,"A sentence that explicitly enumerates the types of personal data gathered in an open-ended list is classified under the category of personal information collected, as it directly names the data types involved.",3
10621,959,"A sentence that explicitly denies selling or sharing personal data for monetary or other valuable consideration directly addresses the question of which categories of personal information are sold, so it is labeled as information about categories sold even when the denial presents an absence for a specific context.",4
